iter	Passed	Remaining
0	154	154274
1	163	81791
2	172	57387
3	181	45202
4	189	37713
5	197	32716
6	205	29132
7	213	26485
8	221	24376
9	229	22710
10	237	21368
11	246	20272
12	253	19272
13	261	18436
14	269	17674
15	277	17046
16	284	16422
17	292	15984
18	300	15511
19	308	15135
20	316	14733
21	324	14420
22	331	14096
23	340	13851
24	348	13580
25	357	13380
26	363	13107
27	371	12895
28	377	12652
29	384	12442
30	391	12244
31	399	12076
32	407	11938
33	414	11764
34	421	11623
35	428	11469
36	436	11357
37	443	11215
38	450	11099
39	457	10986
40	464	10857
41	471	10760
42	478	10642
43	485	10553
44	492	10457
45	499	10366
46	506	10278
47	513	10180
48	520	10095
49	527	10021
50	534	9944
51	542	9882
52	548	9803
53	555	9738
54	563	9687
55	571	9628
56	578	9568
57	585	9505
58	593	9459
59	599	9393
60	607	9346
61	614	9289
62	621	9248
63	629	9199
64	635	9148
65	642	9098
66	649	9044
67	657	9011
68	664	8966
69	672	8929
70	678	8881
71	685	8839
72	692	8798
73	700	8762
74	707	8727
75	714	8691
76	723	8672
77	730	8631
78	737	8599
79	744	8556
80	751	8522
81	758	8490
82	766	8463
83	773	8429
84	779	8394
85	787	8373
86	794	8337
87	802	8311
88	808	8275
89	815	8250
90	822	8217
91	829	8183
92	836	8157
93	842	8122
94	850	8105
95	857	8071
96	864	8050
97	871	8022
98	878	7993
99	885	7972
100	892	7944
101	899	7923
102	906	7894
103	914	7874
104	920	7848
105	928	7830
106	935	7806
107	941	7776
108	948	7756
109	955	7730
110	975	7811
111	982	7792
112	989	7766
113	997	7749
114	1003	7724
115	1010	7704
116	1017	7678
117	1024	7655
118	1032	7640
119	1038	7618
120	1046	7602
121	1053	7580
122	1061	7565
123	1067	7541
124	1074	7521
125	1081	7503
126	1088	7480
127	1096	7469
128	1103	7453
129	1111	7440
130	1118	7421
131	1126	7407
132	1132	7385
133	1139	7367
134	1146	7347
135	1153	7325
136	1161	7316
137	1168	7296
138	1177	7291
139	1184	7273
140	1192	7262
141	1198	7242
142	1205	7227
143	1212	7210
144	1219	7193
145	1226	7177
146	1233	7159
147	1241	7145
148	1247	7127
149	1255	7115
150	1263	7105
151	1271	7092
152	1278	7077
153	1285	7059
154	1292	7047
155	1299	7028
156	1306	7014
157	1312	6996
158	1320	6985
159	1327	6968
160	1334	6952
161	1341	6936
162	1347	6921
163	1355	6910
164	1362	6893
165	1369	6880
166	1376	6863
167	1383	6849
168	1390	6837
169	1397	6821
170	1404	6810
171	1411	6794
172	1418	6782
173	1425	6766
174	1432	6754
175	1439	6739
176	1446	6725
177	1453	6713
178	1460	6697
179	1467	6686
180	1474	6670
181	1481	6658
182	1489	6648
183	1496	6636
184	1503	6623
185	1509	6607
186	1516	6595
187	1523	6580
188	1530	6567
189	1537	6553
190	1545	6545
191	1553	6535
192	1560	6525
193	1569	6519
194	1576	6506
195	1583	6494
196	1589	6479
197	1597	6471
198	1605	6460
199	1612	6451
200	1619	6438
201	1627	6431
202	1635	6420
203	1643	6413
204	1650	6401
205	1658	6391
206	1665	6381
207	1672	6370
208	1681	6363
209	1688	6350
210	1696	6342
211	1703	6330
212	1710	6321
213	1718	6312
214	1727	6308
215	1737	6305
216	1747	6305
217	1755	6295
218	1763	6288
219	1770	6276
220	1779	6271
221	1789	6272
222	1800	6273
223	1811	6274
224	1820	6270
225	1829	6264
226	1839	6263
227	1846	6253
228	1854	6244
229	1861	6230
230	1867	6216
231	1875	6206
232	1881	6194
233	1889	6184
234	1895	6171
235	1902	6159
236	1909	6146
237	1915	6132
238	1922	6122
239	1929	6111
240	1937	6103
241	1945	6095
242	1955	6090
243	1962	6079
244	1971	6075
245	1978	6065
246	1987	6059
247	1995	6051
248	2003	6043
249	2011	6034
250	2018	6023
251	2025	6010
252	2031	5997
253	2038	5986
254	2044	5974
255	2055	5974
256	2062	5962
257	2069	5953
258	2076	5941
259	2084	5931
260	2090	5919
261	2098	5909
262	2105	5900
263	2112	5888
264	2120	5880
265	2126	5868
266	2135	5862
267	2142	5851
268	2149	5841
269	2156	5831
270	2164	5821
271	2170	5810
272	2178	5800
273	2184	5789
274	2191	5778
275	2198	5768
276	2205	5757
277	2213	5748
278	2220	5738
279	2227	5727
280	2235	5718
281	2241	5707
282	2249	5698
283	2255	5687
284	2263	5678
285	2270	5667
286	2277	5657
287	2283	5646
288	2290	5634
289	2297	5625
290	2304	5614
291	2311	5604
292	2318	5594
293	2325	5584
294	2332	5573
295	2338	5561
296	2345	5551
297	2352	5540
298	2360	5533
299	2367	5523
300	2374	5514
301	2381	5503
302	2387	5492
303	2394	5482
304	2401	5471
305	2408	5463
306	2415	5452
307	2422	5442
308	2429	5433
309	2436	5422
310	2443	5414
311	2450	5403
312	2458	5396
313	2465	5385
314	2472	5376
315	2479	5366
316	2485	5356
317	2493	5346
318	2499	5335
319	2507	5327
320	2514	5317
321	2521	5309
322	2528	5300
323	2535	5290
324	2543	5281
325	2549	5270
326	2557	5263
327	2563	5252
328	2571	5244
329	2577	5233
330	2585	5226
331	2592	5217
332	2600	5208
333	2607	5198
334	2614	5189
335	2621	5180
336	2628	5170
337	2635	5160
338	2641	5150
339	2648	5140
340	2655	5131
341	2661	5121
342	2669	5112
343	2675	5102
344	2683	5094
345	2690	5085
346	2699	5079
347	2706	5071
348	2714	5063
349	2722	5055
350	2729	5046
351	2737	5038
352	2743	5028
353	2751	5020
354	2757	5010
355	2765	5003
356	2773	4994
357	2779	4985
358	2786	4974
359	2792	4964
360	2800	4956
361	2806	4946
362	2813	4937
363	2820	4928
364	2827	4919
365	2834	4910
366	2841	4900
367	2849	4893
368	2855	4883
369	2863	4875
370	2869	4865
371	2889	4877
372	2897	4869
373	2903	4860
374	2910	4851
375	2917	4842
376	2925	4834
377	2932	4824
378	2939	4815
379	2947	4808
380	2953	4799
381	2961	4791
382	2968	4781
383	2976	4774
384	2982	4764
385	2989	4755
386	2996	4746
387	3003	4737
388	3010	4729
389	3017	4719
390	3025	4711
391	3031	4701
392	3038	4693
393	3046	4685
394	3052	4675
395	3060	4668
396	3067	4659
397	3075	4651
398	3082	4642
399	3089	4634
400	3096	4625
401	3103	4616
402	3110	4608
403	3117	4599
404	3124	4591
405	3131	4581
406	3138	4572
407	3146	4564
408	3153	4556
409	3161	4549
410	3168	4541
411	3176	4533
412	3184	4525
413	3190	4516
414	3197	4507
415	3204	4498
416	3210	4488
417	3218	4481
418	3225	4472
419	3232	4464
420	3239	4455
421	3246	4446
422	3254	4438
423	3261	4430
424	3269	4422
425	3275	4414
426	3283	4406
427	3290	4396
428	3297	4388
429	3304	4380
430	3311	4371
431	3318	4362
432	3324	4353
433	3331	4345
434	3338	4336
435	3345	4328
436	3352	4319
437	3360	4311
438	3366	4302
439	3373	4293
440	3380	4285
441	3386	4275
442	3394	4267
443	3400	4258
444	3408	4250
445	3415	4243
446	3422	4234
447	3429	4225
448	3436	4216
449	3444	4209
450	3451	4201
451	3459	4194
452	3467	4186
453	3475	4179
454	3482	4171
455	3490	4163
456	3498	4156
457	3505	4148
458	3513	4141
459	3521	4134
460	3528	4126
461	3537	4119
462	3544	4111
463	3552	4103
464	3561	4097
465	3569	4090
466	3576	4082
467	3583	4073
468	3591	4066
469	3598	4058
470	3607	4051
471	3614	4043
472	3623	4037
473	3632	4030
474	3641	4024
475	3648	4016
476	3656	4009
477	3663	4001
478	3671	3993
479	3679	3985
480	3686	3977
481	3693	3969
482	3701	3962
483	3709	3954
484	3717	3946
485	3723	3938
486	3730	3929
487	3739	3923
488	3747	3915
489	3755	3909
490	3763	3901
491	3772	3895
492	3779	3886
493	3787	3879
494	3794	3871
495	3802	3864
496	3809	3855
497	3818	3848
498	3824	3840
499	3832	3832
500	3838	3823
501	3845	3814
502	3857	3811
503	3865	3803
504	3872	3795
505	3880	3788
506	3888	3781
507	3897	3774
508	3904	3766
509	3911	3758
510	3919	3750
511	3927	3742
512	3934	3735
513	3941	3726
514	3949	3719
515	3957	3711
516	3966	3705
517	3975	3698
518	3983	3691
519	3990	3683
520	3999	3677
521	4008	3670
522	4029	3675
523	4041	3671
524	4051	3665
525	4060	3659
526	4069	3652
527	4080	3647
528	4089	3640
529	4099	3635
530	4107	3628
531	4117	3621
532	4125	3614
533	4133	3606
534	4141	3599
535	4150	3592
536	4159	3586
537	4168	3579
538	4177	3572
539	4185	3565
540	4194	3558
541	4202	3550
542	4210	3543
543	4218	3535
544	4226	3528
545	4234	3520
546	4242	3513
547	4250	3506
548	4259	3498
549	4266	3490
550	4275	3484
551	4284	3477
552	4293	3470
553	4301	3462
554	4310	3455
555	4317	3447
556	4326	3440
557	4334	3433
558	4343	3426
559	4350	3418
560	4358	3411
561	4366	3402
562	4375	3396
563	4383	3388
564	4391	3381
565	4398	3372
566	4406	3365
567	4414	3357
568	4422	3349
569	4429	3341
570	4437	3334
571	4445	3326
572	4453	3318
573	4460	3310
574	4468	3302
575	4477	3295
576	4487	3289
577	4494	3281
578	4502	3274
579	4509	3265
580	4519	3259
581	4527	3251
582	4535	3243
583	4543	3236
584	4552	3229
585	4560	3221
586	4567	3213
587	4575	3206
588	4584	3198
589	4592	3191
590	4600	3183
591	4608	3176
592	4616	3168
593	4623	3160
594	4631	3152
595	4639	3144
596	4647	3136
597	4655	3129
598	4673	3128
599	4681	3121
600	4689	3113
601	4697	3105
602	4705	3098
603	4714	3090
